platform,scaling,N,resource_type,resources,first_step_max_s,steady_state_mean_s_per_step,excess_s,first_over_mean
cpu,strong,1500,mpi_ranks,4,36.690,30.9073,5.7827,1.187
cpu,strong,1500,mpi_ranks,16,17.310,12.6873,4.6227,1.364
cpu,strong,3000,mpi_ranks,32,40.170,35.5709,4.5991,1.129
cpu,strong,3000,mpi_ranks,64,26.490,21.6852,4.8048,1.222
cpu,strong,3000,mpi_ranks,128,19.070,13.6139,5.4561,1.401
cpu,weak,750,mpi_ranks,1,12.760,10.6048,2.1552,1.203
cpu,weak,1500,mpi_ranks,8,26.470,21.2141,5.2559,1.248
cpu,weak,2250,mpi_ranks,27,26.610,21.5718,5.0382,1.234
cpu,weak,3000,mpi_ranks,64,26.490,21.6852,4.8048,1.222
cpu,weak,3750,mpi_ranks,125,26.680,21.7814,4.8986,1.225
gpu,strong,1500,gpus,8,13.160,1.141000,12.019000,11.534
gpu,strong,1500,gpus,16,12.810,0.597580,12.212420,21.436
gpu,strong,1500,gpus,32,13.100,0.385920,12.714080,33.945
gpu,strong,3000,gpus,64,13.660,1.188000,12.472000,11.498
gpu,strong,3000,gpus,128,13.430,0.634300,12.795700,21.173
gpu,strong,3000,gpus,256,13.800,0.426065,13.373935,32.389
gpu,weak,750,gpus,1,4.920,0.958000,3.962000,5.136
gpu,weak,1500,gpus,8,13.160,1.141000,12.019000,11.534
gpu,weak,2250,gpus,27,13.270,1.245900,12.024100,10.651
gpu,weak,3000,gpus,64,13.660,1.188000,12.472000,11.498
gpu,weak,3750,gpus,125,14.430,1.458300,12.971700,9.895
gpu,weak,4500,gpus,216,14.200,1.435000,12.765000,9.895
