source,Re_lambda,St,g
reference,83,0.2,3.94
reference,83,0.4,16.7
reference,83,0.6,26.2
reference,83,1.0,23.2
reference,83,2.0,7.59
reference,133,0.2,4.59
reference,133,0.4,16.6
reference,133,0.6,26.1
reference,133,1.0,24.8
reference,133,2.0,9.15
reference,210,0.2,4.67
reference,210,0.4,15.9
reference,210,0.6,25.7
reference,210,1.0,26.4
reference,210,2.0,10.8
reference,346,0.4,15.3
reference,346,0.6,24.3
reference,346,1.0,25.8
reference,346,2.0,13.1
reference,537,0.4,14.6
reference,537,0.6,23.2
reference,537,1.0,27.1
reference,537,2.0,14.7
present,80.2,0.2,4.69
present,80.2,0.4,18.4
present,80.2,0.6,26.4
present,80.2,0.8,28.0
present,80.2,1.0,25.2
present,80.2,2.0,9.25
present,80.2,4.0,3.10
present,80.2,8.0,1.66
present,129.0,0.2,5.11
present,129.0,0.4,16.5
present,129.0,0.6,26.1
present,129.0,0.8,28.6
present,129.0,1.0,26.5
present,129.0,2.0,11.6
present,129.0,4.0,3.95
present,129.0,8.0,2.07
present,209.0,0.2,5.04
present,209.0,0.4,15.9
present,209.0,0.6,25.3
present,209.0,0.8,28.7
present,209.0,1.0,27.9
present,209.0,2.0,13.9
present,209.0,4.0,5.09
present,209.0,8.0,2.64
present,331.0,0.2,4.98
present,331.0,0.4,15.2
present,331.0,0.6,24.2
present,331.0,0.8,28.0
present,331.0,1.0,27.6
present,331.0,2.0,15.0
present,534.0,0.2,4.82
present,534.0,0.4,14.4
present,534.0,0.6,23.3
present,534.0,1.0,27.9
present,534.0,2.0,17.0
